id,user_id,post_content,tag,timestamp
1,user_6377,I'm feeling so low today. Nothing seems to matter anymore.,Depression,2025-02-03 22:05:12
2,user_8925,Every day feels like a struggle to get out of bed.,Depression,2024-10-28 12:04:56
3,user_5035,"The pain is unbearable, and I'm tired of fighting. I just can't shake this feeling.",Suicidal,2025-02-11 01:26:59
4,user_2509,Sometimes I feel like it would be easier if I just wasn't here. Really feeling this today.,Suicidal,2024-08-29 06:23:06
5,user_6281,I feel overwhelmed with sadness and despair. Really feeling this today.,Depression,2024-12-18 07:19:45
6,user_9675,Every day feels like a struggle to get out of bed.,Depression,2025-03-14 04:35:02
7,user_2400,I feel overwhelmed with sadness and despair. Really feeling this today.,Depression,2025-03-22 09:11:57
8,user_7292,"The pain is unbearable, and I'm tired of fighting. Really feeling this today.",Suicidal,2024-08-19 00:28:02
9,user_7748,I feel overwhelmed with sadness and despair. Really feeling this today.,Depression,2025-07-23 23:10:32
10,user_4351,"The pain is unbearable, and I'm tired of fighting. Really feeling this today.",Suicidal,2024-12-19 20:21:09
11,user_3630,"No matter what I do, I can't find a reason to keep going. I just can't shake this feeling.",Suicidal,2025-02-20 00:39:02
12,user_3835,The uncertainty of tomorrow makes me incredibly anxious. Really feeling this today.,Anxiety,2024-10-03 09:25:45
13,user_8068,"No matter what I do, I can't find a reason to keep going.",Suicidal,2025-02-19 04:49:03
14,user_7962,I've been thinking that ending it all might be the only escape. Really feeling this today.,Suicidal,2025-05-30 22:54:38
15,user_2900,"The pain is unbearable, and I'm tired of fighting. I just can't shake this feeling.",Suicidal,2024-12-10 16:31:13
16,user_2070,I can't control the panic attacks I've been having lately. Really feeling this today.,Anxiety,2025-01-03 13:53:10
17,user_9921,The uncertainty of tomorrow makes me incredibly anxious. Really feeling this today.,Anxiety,2024-11-10 22:00:19
18,user_1451,"My mind won't stop racing, even when I try to relax. I just can't shake this feeling.",Anxiety,2025-05-12 19:30:35
19,user_2136,I feel overwhelmed with sadness and despair. Really feeling this today.,Depression,2024-09-16 00:02:03
20,user_2295,I'm lost and I don't see any way out of this darkness. Really feeling this today.,Suicidal,2024-08-17 19:18:30
21,user_9576,The uncertainty of tomorrow makes me incredibly anxious. I just can't shake this feeling.,Anxiety,2025-03-07 00:41:01
22,user_9806,Sometimes I feel like it would be easier if I just wasn't here. I just can't shake this feeling.,Suicidal,2025-06-28 10:09:37
23,user_3840,Sometimes I feel like it would be easier if I just wasn't here. I just can't shake this feeling.,Suicidal,2025-04-08 23:08:33
24,user_9007,I feel overwhelmed with sadness and despair. Really feeling this today.,Depression,2025-05-26 03:30:21
25,user_2772,"I feel so anxious all the time, like something bad is coming. I just can't shake this feeling.",Anxiety,2024-12-09 01:33:25
26,user_9243,I don't see a future for me anymore. Really feeling this today.,Depression,2025-01-24 01:57:07
27,user_6447,"I feel so anxious all the time, like something bad is coming.",Anxiety,2025-02-02 15:45:59
28,user_3955,"My mind won't stop racing, even when I try to relax. Really feeling this today.",Anxiety,2024-08-10 14:26:31
29,user_1535,Every day feels like a struggle to get out of bed. Really feeling this today.,Depression,2025-02-18 17:50:02
30,user_3516,"No matter what I do, I can't find a reason to keep going. Really feeling this today.",Suicidal,2024-10-26 00:59:40
31,user_3813,I'm lost and I don't see any way out of this darkness. Really feeling this today.,Suicidal,2025-04-15 18:15:57
32,user_7737,I can't shake off this constant feeling of emptiness. Really feeling this today.,Depression,2025-02-28 19:43:07
